epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8801,1.64427,3.56519,1.57062,0.00333,1,0.55996,0.30609,1.11822,3.74264,1.28429,6e-05,6e-05,6e-05
2,23.4641,1.11958,2.84297,1.30489,0.00333,1,0.995,0.74484,0.63162,3.24553,0.8877,0.000137228,0.000137228,0.000137228
3,35.3504,0.7831,1.99914,1.08451,0.00333,1,0.9425,0.72552,0.67307,3.11081,1.00632,0.000211288,0.000211288,0.000211288
4,46.5669,0.79768,1.63473,1.00951,0.00333,1,0.87167,0.6218,0.85155,3.15701,1.05409,0.00028218,0.00028218,0.00028218
5,57.514,0.74931,1.51842,1.03095,0.00333,1,0.995,0.83177,0.51951,2.9425,0.83147,0.000349904,0.000349904,0.000349904
6,68.7629,0.8173,1.49787,1.02889,0.00333,1,0.995,0.86299,0.55925,2.9869,0.814,0.00041446,0.00041446,0.00041446
7,80.0774,0.6995,1.38585,0.9521,0.00756,1,0.995,0.93906,0.42172,3.01186,0.7831,0.000475848,0.000475848,0.000475848
8,91.478,0.76926,1.40577,1.01483,1,0.7662,0.995,0.96703,0.40715,2.89793,0.76461,0.000534068,0.000534068,0.000534068
9,102.469,0.70816,1.28494,0.937,1,0.7507,0.995,0.92104,0.49854,2.83693,0.79634,0.00058912,0.00058912,0.00058912
10,113.599,0.76032,1.33617,0.986,1,0.78992,0.995,0.81603,0.53395,2.69825,0.79517,0.000641004,0.000641004,0.000641004
11,124.729,0.7572,1.36657,0.98201,0.00774,1,0.96,0.74463,0.55445,2.95399,0.82709,0.00068972,0.00068972,0.00068972
12,135.921,0.71132,1.30257,0.94425,1,0.51196,0.96389,0.81943,0.52586,2.8935,0.85407,0.000735268,0.000735268,0.000735268
13,146.844,0.69314,1.32563,0.94843,1,0.93404,0.995,0.85817,0.59883,2.62609,1.07695,0.000777648,0.000777648,0.000777648
14,158.695,0.68446,1.30737,0.94214,1,0.96728,0.995,0.85126,0.59692,2.3793,1.06043,0.00081686,0.00081686,0.00081686
15,170.817,0.6115,1.14966,0.93678,0.95216,1,0.995,0.87197,0.50739,2.42996,0.78093,0.000852904,0.000852904,0.000852904
16,181.923,0.77251,1.43254,0.97389,0.99454,1,0.995,0.87255,0.62487,2.61446,0.79043,0.00088578,0.00088578,0.00088578
17,192.883,0.69762,1.1731,0.93505,0.99203,1,0.995,0.87961,0.64761,2.56748,0.81038,0.000915488,0.000915488,0.000915488
18,205.355,0.57996,1.12006,0.91021,1,0.99922,0.995,0.88209,0.58685,1.85771,0.81192,0.000942028,0.000942028,0.000942028
